id,statefp,placefp,placens,city,population size,cbsa,status of the data,file name,number of trees,last updated,downloaded,have we completed QC yet,source,column meta,box folder,add ndvi and qc
101,39,33012,1085809,Hamilton city,63399,"Cincinnati, OH-KY-IN Metro Area",,hamilton_oh.csv,COMPLETE,,2026,N,City of Hamilton ArcGIS,,,
32,36,51000,2395220,New York city,8804190,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",,newyork_ny.csv,1105283,2025,2026,N,New York Open Data,Y,Y,
82,55,55,,Wisconsin state,,,,state_wi.csv,1072468,April 14 2025,2025,N,WI DNR Open Data,Y,Y,all state_wi files
90,18,18,,Indiana state,,,,state_in.csv,387655,,2025,N,Indiana U ArcGIS,Y,Y,
6,39,18000,1086101,Columbus city,905748,"Columbus, OH Metro Area",,columbus_ohio.csv,222306,2023,2026,Y,Columbus Recreation and Parks,Y,Y,
7,11,50000,2390665,Washington city,689545,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",,washington_dc.csv,218331,2023,2026,N,Open Data,Y,,
108,37,12000,2404032,Charlotte city,874579,"Charlotte-Concord-Gastonia, NC-SC Metro Area",,charlotte_nc.csv,191860,July 15 2025,2026,N,City of Charlotte ArcGIS,Y,Y,
11,18,36003,2395424,Indianapolis city (balance),887642,"Indianapolis-Carmel-Anderson, IN Metro Area",,indianapolis_in.csv,188968,2025,2025,N,ArcGIS Feature Service,Y,Y,
9,55,53000,1583724,Milwaukee city,577222,"Milwaukee-Waukesha, WI Metro Area",,milwaukee_wi.csv,188189,2025,2025,N,Open Data,Y,Y,
5,42,60000,1215531,Philadelphia city,1603797,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",,philadelphia_pa.csv,151713,2024,2025,N,Open Data,Y,Y,
45,39,77000,1086537,Toledo city,270871,"Toledo, OH Metro Area",,toledo_oh.csv,138565,June 22 2023,2025,N,City of Toledo ArcGIS,Y,Y,"DBH BROKEN, NEEDS LATLONG"
38,29,65000,767557,St. Louis city,301578,"St. Louis, MO-IL Metro Area",,stlouis_mo.csv,133383,2023,2025,N,St. Louis ArcGIS Map Service,Y,Y,
44,36,11000,978764,Buffalo city,278349,"Buffalo-Cheektowaga, NY Metro Area",,buffalo_ny.csv,133224,May 2025,2025,N,OpenData Buffalo,Y,Y,
50,51,67000,1789073,Richmond city,226610,"Richmond, VA Metro Area",,richmond_va.csv,121427,November 18 2024,2025,N,City of Richmond ArcGIS,Y,Y,
8,24,4000,1702381,Baltimore city,585708,"Baltimore-Columbia-Towson, MD Metro Area",,baltimore_md.csv,121295,2020,2025,N,ArcGIS WebApp,Y,Y,
27,17,51622,2395147,Naperville city,149540,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",,naperville_il.csv,113730,2025,2026,N,Open Data,Y,Y,
46,55,48000,1583625,Madison city,269840,"Madison, WI Metro Area",,madison_wi.csv,110868,March 26 2025,2025,N,City of Madison Open Data,Y,Y,
