CITY,STATE,FILENAME,ANSI_PLACENS,SPP_BOT,SPP_COM,SPP_CODE,SPP_OTHER,GENUS,SPECIES,CULTIVAR,DBH_EXACT,DBH_CLASS,CIRC_EXACT,LONG_col,LAT_col,TREE_ID,HEIGHT_EXACT,HEIGHT_CLASS,STEMS,MULTI_STEMS,WIDTH,AGE,CONDITION,RISK,FAILURE,DATE_INV,DATE_UPDATE,DATE_PLANT,STATUS,CROWN1,CROWN2,CROWNAREA,notes
Albany,New York,albany_ny.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,Tree_Size__DBH_,,,Longitude,Latitude,Site_ID,,,,Multi_Stem_Tree,,,,,,,,,,,,,
Allentown,Pennsylvania,allentown_pa.csv,,TR_GENUS,TR_COMMON,,,,,,TR_DIA,,,x,y,TR_NUM,,,,,,,CONDITION,,,INPUT_DATE,,,,,,,LatLong Tools
Amherst,New York,amherst_ny.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,,,,,,,,,,,,,,
Ann Arbor,Michigan,annarbor_mi.csv,1625837,BOTANICAL,COMMONNAME,,,,,CULTIVAR,,DBH,,,,FACILITYID,,HEIGHT,,,,,,,,DBHDATE,,,,,,,
Arlington,Virginia,arlington_va.csv,,,CommonName,,,,,CultivarVariety,DBHIn,,,x,y,ID,HeightFt,,,,,,,,,EntryDate,cgLastModified,Installed,,CrownSpreadFt1,CrownSpreadFt2,,LatLong Tools
Arlington Heights,Illinois,arlingtonheights_il.csv,,SPECIESSCIENTIFICNAME,SPECIESCOMMONNAME,,,GENUS,,CULTIVAR,DIAMETER,,,x,y,OBJECTID,,,,,,,,,,DATECREATED,DATEMODIFIED,PLANTINGDATE,,,,,LatLongTools
Auburn,Indiana,auburn_in.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,LONGITUDE,LATITUDE,ID_rep,,,,MULTISTEM,,,COND,RATING,FAIL,,,,,,,,
Baltimore,Maryland,baltimore_md.csv,,SPP,COMMON,,,GENUS,,CULTIVAR,DBH,,,X_COORD,Y_COORD,UniqueID,TREE_HT,,,,,,CONDITION,,,Inv_Date,,,,,,,
Bethlehem,Pennsylvania,bethlehem_pa.csv,,BOTANICAL_NAME,COMMON_NAME,,,,,,EXACT_DBH,DBH,,x,y,OBJECTID,EXACT_HEIGHT,HEIGHT,,,,,,,,,,,,,,,LatLongTools
Binghamton,New York,binghamton_ny.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,Cultivar,Diameter,,,Longitude,Latitude,Site_ID,,Height,,MultiStem,,,,,,Inventory_Date,,,,,,,
Bloomington,Illinois,bloomington_il.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,Multi_Stem,,,,,,,,,,,,,
Boston,Massachusetts,boston_ma.csv,,spp_bot,spp_com,,,,,,dbh,dbh_range,,x_longitude,y_latitude,id,,,,,,,,,,,,,,,,,
Brookline,Massachusetts,brookline_ma.csv,,sci_name,com_name,spec_code,,genus,species,,dbh,,,x,y,OBJECTID,,,,,,,condition,,,,last_insp,yr_planted,,,,,LatLongTools
Buffalo,New York,buffalo_ny.csv,,Botanical Name,Common Name,,,,,,DBH,,,Longitude,Latitude,Site ID,,,,,,,,,,,,,,,,,
Cabarrus County,North Carolina,cabarrus_nc.csv,,,NAME,,NAME_rep,,,,,DBH,,x,y,OBJECTID,,,,,,,CONDITION,RISKASSESSMENT,,,LASTUPDATE,INSTALLDATE,,,,,LatLong Tools
Cambridge,Massachusetts,cambridge_ma.csv,619396,ScientificName,CommonName,,,Genus,species,Cultivar,diameter,,,,,TreeID,,,,,,,,,,created_date,last_edited_date,,,,,,
Cape Coral,Florida,capecoral_fl.csv,,,SPECIES,,,,,,,DBH,,x1,y1,ID,,HEIGHT,TRUNKNO,,,,CONDITION,,,CON_DATE,,,,CANOPY,,,
Champaign,Illinois,champaign_il.csv,,SPP,COMMON,,FAMILY,,,,DBH,,,x,y,OBJECTID,,,TRUNKS,,,,COND,,,INV_DATE,INSPECT_DT,,,,,,LatLongTools
Charlotte,North Carolina,charlotte_nc.csv,,,Common,,,,,,DBH,,,x,y,OBJECTID,,,,,,,,,,,,,,,,,LatLongTools
Cincinnati,Ohio,cincinnati_oh.csv,,,COMMON_NAME,,FAMILY,GENUS,SPECIES,CULTIVAR,SIZE_,,,x,y,OBJECTID,TOTAL_HEIGHT,,,,,,,,,,,,STATUS,,,,LatLong Tools
Clarksville,Indiana,clarksville_in.csv,,Scientific,CommonName,Code,,Genus,,Cultivar,DBH,,,Longitude,Latitude,OBJECTID,,,NumberofSt,,,,,,,DateAdded,,,Status,,,,
Clarksville,Tennessee,clarksville_tn.csv,,SPECIES,COMMON_NAM,SPEC_CODE,,GENUS,,,DBH,,,LONGITUDE,LATITUDE,FID,,,,,,,CONDITION,,,DATE_,,,,,,,
Clearwater,Florida,clearwater_fl.csv,,,NAME_,,,,,,DBH_SIZE,,,x,y,OBJECTID,,,,,,,,RATING,,DATE_INV,last_edited_date,,,,,,LatLong Tools
Columbus,Indiana,columbus_in.csv,,SPP,,,,,,,DBH,,,LONGITUDE,LATITUDE,FID,,,,,,,COND,,,INV_DATE,INSPECT_DT,,,,,,
Columbus,Ohio,columbus_oh.csv,,,Species,,,,,,DSH,,,,,Tree ID,,,,,,,,,,,,,,,,,
Concord,Massachusetts,concord_ma.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,,,,Condition,,,,,,,,,,
Crawfordsville,Indiana,crawfordsville_in.csv,,SPP,,,,,,,DBH,,,LONGITUDE,LATITUDE,ID_rep,,,,,,,COND,RATING,FAIL,,,,,,,,
Des Plaines,Illinois,desplaines_il.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,Stems,,,,,,,,,,,,,,
Doral,Florida,doral_fl.csv,,SCI_NAME,TREE_SPECI,,,,,,,DBH_CLASS,,x,y,FID,,,,,,,CONDITION,,,GPS_DATE,,,,,,,LatLongTools
Dublin,Ohio,dublin_oh.csv,,,Species,,,,,Cultivar,DBH,,,x,y,OBJECTID,,,,,,,,,,CreationDate,EditDate,Installed_Date,Tree_Status,,,,LatLongTools
Durham,North Carolina,durham_nc.csv,,,commonname,,,genus,species,,diameterin,,,x,y,facilityid,,heightft,,,,,condition,,,,,,,,,,"LatLong Tools, only present = 'Planting Site'"
East Lansing,Michigan,eastlansing_mi.csv,,dvSPP,Tree_Name,,,,,,,dvDBH,,x,y,OBJECTID,,,,,,,,,,,,,,,,,LatLong Tools
Evanston,Illinois,evanston_il.csv,,SPP,Common,,,,,CULTIVAR,DBH,,,x,y,OBJECTID,,,,,,,,,,created_date,last_edited_date,,,,,,LatLongTools
Falls Church,Virginia,fallschurch_va.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,,,,,,,,,,,,,,
Fayetteville,North Carolina,fayetteville_nc_1.csv,,,,,F7,,,,,F10,,Lon,Lat,F1,,,,,,,F11,,,,,,,,,,
Fayetteville,North Carolina,fayetteville_nc_2.csv,,,,,Species,,,,,DBH,,Longitude,Latitude,Tree_Numbe,,,,,,,Condition,,,GPS_Date,,,,,,,
Fayetteville,North Carolina,fayetteville_nc_3.csv,,,,,SpeciesNam,,,,,DBH,,x,y,Tree__,,,,,,,Condition,,,,,,,,,,LatLong Tools
Fayetteville,North Carolina,fayetteville_nc_4.csv,,,TreeSpecie,,,,,,DBH,,,x,y,FID,,,,,,,Condition,,,DateAndTim,,,,,,,LatLong Tools
Frederick,Maryland,frederick_md.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,,,,,,,Inventory_Date,,,,,,,
Gastonia,North Carolina,gastonia_nc.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,Multi_Stem,,,,,,,,,,,,,
Goshen,Indiana,goshen_in.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,Height,,,,,,,,,Inventory_Date,,,,,,,
Grand Island,New York,grandisland_ny.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,Multi_Stem_Tree,,,,,,,,,,,,,
Grand Rapids,Michigan,grandrapids_mi.csv,,BOTANICAL,COMMON,,,,,,EXACT_DBH,DBH,,x,y,ID,,,TRUNKS,,,,CONDITION,,,GPSDATE,UDATE,,,,,,LatLong?
Greensboro,North Carolina,greensboro_nc.csv,,Scientific,Common,,,,,,DBH,,,Longitude,Latitude,OBJECTID,,,,,,,,,,SurveyDateTime,,,,,,,
Greenwich,Connecticut,greenwich_ct.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,,,,,,,,Site_Last_Changed_On,,,,,,
Groton,Connecticut,groton_ct.csv,,,CommonName,iTreeCode,Family,Genus,Species,Cultivar,DBH,,,Longitude,Latitude,OBJECTID,,,,,,,,,,Year,,,,,,,
Hamilton,Ohio,hamilton_oh.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartford (park),Connecticut,hartford_ct_P.csv,,Latin_Name,Common_Name,,,,,,DSH,,,x,y,Tree,,,,,,,Condition,Risk_Rating,,,,,,,,,
Hartford,Connecticut,hartford_ct.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,DBH,,,Longitude,Latitude,Site_ID,,,,Multi_Stem,,,,,,,,,,,,,
Highland Park,Illinois,highlandpark_il.csv,,SPP_BOT_rep,SPP_COM_rep,,,,,,Diameter,,,Longitude,Latitude,Site_ID,Height,,Stems,,,,,,,Inventory_Date,,,,,,,
Hoboken,New Jersey,hoboken_nj.csv,,,CommonName,,,Genus,Species,Cultivar,Ex_DBH,,,Longitude,Latitude,FID_2,,Tree_Heigh,,,,,,,,,,Year_Plant,,Crown_Widt,,,
