statefp,placefp,placens,city,population size,cbsa,status of the data,file name,number of trees,last updated,downloaded,have we completed QC yet,source,column meta,box folder,add ndvi and qc
26,3000,1625837,Ann Arbor city,123851,"Ann Arbor, MI Metro Area",,annarbor_mi.csv,59485,,June 2025,N,City Gov,Y,Y,
36,38077,979099,Ithaca city,32108,"Ithaca, NY Metro Area",,ithaca_ny.csv,13258,2024,June 2025,N,Open Data,Y,Y,
36,63000,979426,Rochester city,211328,"Rochester, NY Metro Area",,rochester_ny.csv,64508,April 15 2025,June 2025,N,DataROC,Y,Y,
36,73000,979539,Syracuse city,148620,"Syracuse, NY Metro Area",,syracuse_ny.csv,55676,July 21 2023,June 2025,N,Open Data,Y,Y,
42,60000,1215531,Philadelphia city,1603797,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",,philadelphia_pa.csv,151713,2024,June 2025,N,Open Data,Y,Y,
39,18000,1086101,Columbus city,905748,"Columbus, OH Metro Area",,columbus_ohio.csv,164518,2023,June 2025,N,ArcGIS Experience,Y,Y,
11,50000,2390665,Washington city,689545,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",,washington_dc.csv,218331,2023,January 2026,N,Open Data,Y,,
24,4000,1702381,Baltimore city,585708,"Baltimore-Columbia-Towson, MD Metro Area",,baltimore_md.csv,121295,2020,June 2025,N,ArcGIS WebApp,Y,Y,
55,53000,1583724,Milwaukee city,577222,"Milwaukee-Waukesha, WI Metro Area",,milwaukee_wi.csv,188189,2025,June 2025,N,Open Data,Y,Y,
34,32250,885257,Hoboken city,60419,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",,hoboken_nj.csv,4303,2023,June 2025,N,ArcGIS Feature Service,Y,,
18,36003,2395424,Indianapolis city (balance),887642,"Indianapolis-Carmel-Anderson, IN Metro Area",,indianapolis_in.csv,188968,2025,June 2025,N,ArcGIS Feature Service,Y,Y,
18,22000,2394710,Evansville city,117298,"Evansville, IN-KY Metro Area",,evansville_in.csv,12138,2025,June 2025,N,ArcGIS Feature Service,,,
18,10342,2393750,Carmel city,99757,"Indianapolis-Carmel-Anderson, IN Metro Area",,carmel_in.csv,27966,2025,June 2025,N,ArcGIS Feature Service,,,
18,5860,2394196,Bloomington city,79168,"Bloomington, IN Metro Area",,bloomington_in.csv,31275,2025,June 2025,N,ArcGIS Feature Service,,,
18,40788,2395583,Lafayette city,70783,"Lafayette-West Lafayette, IN Metro Area",,lafayette_in.csv,13951,2025,June 2025,N,ArcGIS Feature Service,,,
18,51876,2395138,Muncie city,65194,"Muncie, IN Metro Area",,muncie_in.csv,15574,2025,June 2025,N,ArcGIS Feature Service,,,
18,40392,2395560,Kokomo city,59604,"Kokomo, IN Metro Area",,kokomo_in.csv,4525,2025,June 2025,N,ArcGIS Feature Service,,,
18,75428,2396042,Terre Haute city,58389,"Terre Haute, IN Metro Area",,terehaute_in.csv,8107,2025,June 2025,N,ArcGIS Feature Service,,,
18,52326,2395181,New Albany city,37841,"Louisville/Jefferson County, KY-IN Metro Area",,newalbany_in.csv,5244,2025,June 2025,N,ArcGIS Feature Service,,,
18,48528,2396754,Merrillville town,36444,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",,merrillville_in.csv,7841,2025,June 2025,N,ArcGIS Feature Service,,,
